miRNA,MI_Score
hsa-miR-3620-3p,0.01724257571270016
hsa-miR-362-5p,0.0
hsa-miR-363-3p,0.04659096178052291
hsa-miR-3688-3p,0.0
hsa-miR-3688-5p,0.0
hsa-miR-374a-5p,0.007091585736637818
hsa-miR-374b-5p,0.0
hsa-miR-374c-3p,0.0
hsa-miR-378a-3p,0.05136483560501848
hsa-miR-378a-5p,0.0011398292998254789
hsa-miR-3909,0.04177620088781531
hsa-miR-3940-3p,0.04462807263815982
hsa-miR-409-3p,0.032205772764962504
hsa-miR-421,0.03792623381135929
hsa-miR-423-3p,0.0
hsa-miR-423-5p,0.0
hsa-miR-424-3p,0.0018871778294329289
hsa-miR-425-3p,0.10224049863443607
hsa-miR-425-5p,0.03879506474746286
hsa-miR-4326,0.017608859226272422
hsa-miR-4433-3p,0.014587582263708043
hsa-miR-4433b-5p,0.014587582263708043
hsa-miR-4435,0.0
hsa-miR-4482-3p,0.0
hsa-miR-4511,0.00215300742993918
hsa-miR-451a,0.0
hsa-miR-451b,0.012706207063428288
hsa-miR-454-3p,0.007114712391644851
hsa-miR-454-5p,0.0
hsa-miR-4646-3p,0.005959077098200538
hsa-miR-4677-3p,0.05703822468780295
hsa-miR-4685-3p,0.0
hsa-miR-4732-3p,0.0
hsa-miR-4732-5p,0.0
hsa-miR-4742-3p,0.0
hsa-miR-4746-5p,0.015786349893927465
hsa-miR-4781-3p,0.04570510451322729
hsa-miR-484,0.014421210776772497
hsa-miR-485-3p,0.0
hsa-miR-486-3p,0.0436775804555527
hsa-miR-486-5p,0.0
hsa-miR-5001-3p,0.0
hsa-miR-500a-3p,0.0
hsa-miR-5010-3p,0.0433481366415851
hsa-miR-501-3p,0.061852261501821104
hsa-miR-502-3p,0.008189701470666222
hsa-miR-503-5p,0.17081054075703772
hsa-miR-505-3p,0.0
hsa-miR-5189-3p,0.01625117235379303
hsa-miR-532-3p,0.0
hsa-miR-532-5p,0.014075827586275125
hsa-miR-548k,0.0
hsa-miR-548o-3p,0.0
hsa-miR-550a-3p,0.0
hsa-miR-550a-5p,0.0
hsa-miR-550b-2-5p,0.0
hsa-miR-550b-3p,0.02426772067368521
hsa-miR-5695,0.057006554420583555
hsa-miR-574-3p,0.0229042879594461
hsa-miR-576-5p,0.0
hsa-miR-584-5p,0.0
hsa-miR-589-3p,0.0
hsa-miR-589-5p,0.0713230011587882
hsa-miR-616-5p,0.0
hsa-miR-625-3p,0.022176671993249464
hsa-miR-625-5p,0.01218882044468561
hsa-miR-627-3p,0.043031920183851824
hsa-miR-627-5p,0.004997530738172884
hsa-miR-628-3p,0.07650325395760582
hsa-miR-629-5p,0.0
hsa-miR-636,0.0
hsa-miR-641,0.0
hsa-miR-6511a-3p,0.050618458055082804
hsa-miR-6511b-3p,0.033177281095341904
hsa-miR-6513-3p,0.0
hsa-miR-652-3p,0.0
hsa-miR-654-3p,0.028701548494609597
hsa-miR-659-5p,0.0187219111964243
hsa-miR-660-5p,0.014902802437799068
hsa-miR-664a-3p,0.0
hsa-miR-671-3p,0.0
hsa-miR-6737-3p,0.0
hsa-miR-6741-3p,0.04590866373599933
hsa-miR-6747-3p,0.0
hsa-miR-6750-3p,0.0669606013494688
hsa-miR-6775-3p,0.030561197414065155
hsa-miR-6777-3p,0.0
hsa-miR-6803-3p,0.0
hsa-miR-6812-3p,0.0
hsa-miR-6819-3p,0.007892296531834653
hsa-miR-6842-3p,0.020083587154873683
hsa-miR-6857-3p,0.0
hsa-miR-6868-3p,0.0
hsa-miR-6881-3p,0.0
hsa-miR-6894-3p,0.0
hsa-miR-7-1-3p,0.0
hsa-miR-744-5p,0.0
hsa-miR-766-3p,0.03717961671828984
hsa-miR-769-5p,0.0
hsa-miR-7704,0.0006456997734378689
hsa-miR-7706,0.0
hsa-miR-7976,0.019485260750095712
hsa-miR-92a-3p,0.0
hsa-miR-92b-3p,0.0019470584168610472
hsa-miR-93-3p,0.002646771651170887
hsa-miR-93-5p,0.0
hsa-miR-937-3p,0.0
hsa-miR-941,0.0
hsa-miR-942-5p,0.0460518936349219
hsa-miR-96-5p,0.043411105706569586
hsa-miR-98-5p,0.0344653635326182
hsa-miR-99a-5p,0.0
hsa-miR-99b-5p,0.025068320579510583
