C17orf58
ZNF581
KLF14
AC132186.1
HOXD10
SNX30
SLC17A4
CPOX
AP006621.5
ZNF256
RPP14
AL049840.1
ZNF589
CDY1
CDY2A
CDY1B
CDY2B
FBXL15
SFXN1
TMEM215
MTOR
C10orf62
NDUFB2
PIM2
MFAP3L
C5orf24
POLR2J3
CHST6
AC004899.1
CDHR3
ZNF487
SNX8
AL591479.1
ZNF728
SH2D4B
MAD2L1BP
PPP1R14C
XXbac-BPG32J3.20
C12orf55
E2F7
MARCH3
FKBP1A
TMEM235
CCBL2
IL17D
FKBP1C
AICDA
DRD1
C9orf170
SYNJ2BP
VGLL2
KIF13B
PKD2L1
HUNK
TFRC
GSTK1
GNAO1
GSX2
NKX6-1
SIGLEC6
PDGFC
ANKAR
PARP11
HMGA2
PRKACB
BEND2
NXT2
GCSAML
NARS
KLHL31
PTGIS
ABCA8
SH3RF1
KANSL1
KCND3
ZNF782
EIF3E
ZNF486
CTSV
LSR
FSD2
SRP19
EXOSC7
ZNF672
TMEM163
DGKI
FAM219A
RIBC2
CYP27C1
ATP6AP2
MEOX2
GLRX5
C5orf30
SNN
GADD45A
ARL8B
NPTN
NPEPL1
MITF
CLCN6
CDK5R1
HOMER1
TMEM54
C18orf25
SOS2
HLA-DQB2
S1PR1
QKI
INO80
RTN4
CCT6A
B4GALT5
TMED7
DCP2
MXD1
RAB34
ITGA9
PRNP
SZRD1
USP6
DDX6
MMD
MRAS
ELF5
BARHL2
OTX2
ZDHHC7
PNRC2
CCDC144A
PIGA
MAFB
ST8SIA3
WDR47
TGFA
STX3
RNF219
WDR20
SNX3
PTPRA
TNRC6A
AGO4
C15orf27
UBAP2L
LYSMD2
EOGT
MMP15
ARRDC3
CTSA
USP48
CDC14A
ARFIP1
MTMR9
KAT7
ZNF274
PPP1R10
BAI3
ABCB7
MDM4
SPRYD7
PPP6R1
C1GALT1
CCDC6
CABP7
PHAX
SNX27
SOS1
SMIM12
C7orf60
NRAS
FBXO28
NR2C2AP
SESTD1
FEZ2
NPTX1
NCKIPSD
DDAH1
CDK19
ELAVL4
KLF6
ERRFI1
VMP1
FXR1
SMS
BICC1
EIF4E3
MARCH3
MTF1
KLF5
PNPLA6
C3orf58
UCP3
INHBB
MTMR14
KCNJ6
LRP2
SNAP91
CAND1
HOXC8
NRP1
TMEM170A
USP33
C7orf71
ADAMTS5
PLAA
SRSF11
ZNF618
MAP3K9
BTBD3
RGMA
TMSB4X
FAM73B
TMEM52B
AC135178.1
ROBO1
CYB5R4
LIPA
KIAA0232
XPO4
RPS6KA5
ABCD3
POU3F2
PBXIP1
SKP1
BHLHE41
NEURL4
PTEN
MIER1
ERBB3
UGT8
FAM168B
YPEL3
SLC25A44
CUL5
DNMT1
B4GALT6
ABL2
AGFG1
CDH7
H2AFY
SLC2A1
ROCK1
JMY
SGMS1
GTF2H1
GPATCH8
AHDC1
FAM81A
LDLR
GAP43
CHST1
CNTN4
MAF
NDP
DOCK6
TNRC6C
MDFIC
ATP2B4
DYNLL2
TRAK2
UBE2D1
NOG
PDIA3
OSBPL11
ITGA11
CPT1A
BTAF1
PRR15
LAMA4
RNF38
TEK
ACVR1
SESN2
